,model_id,grade_id,grade_name,price,desc
68,7,5,HYBRID G 7人乗り,2727500,ハイブリッド／1.5L／CVT／2WD　FF／定員 7名
69,7,6,G 5人乗り,2337500,ガソリン／1.5L／CVT／2WD　FF／定員 5名
70,7,7,Z 7人乗り,2686600,ガソリン／1.5L／CVT／2WD　FF／定員 7名
71,7,8,HYBRID G 5人乗り,2687500,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
72,7,9,X 7人乗り,2035200,ガソリン／1.5L／CVT／2WD　FF／定員 7名
73,7,10,G 7人乗り,2377500,ガソリン／1.5L／CVT／2WD　FF／定員 7名
74,7,11,Z 5人乗り,2646600,ガソリン／1.5L／CVT／2WD　FF／定員 5名
75,7,12,HYBRID X 7人乗り,2430000,ハイブリッド／1.5L／CVT／2WD　FF／定員 7名
76,7,13,HYBRID X 5人乗り,2588000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
77,7,14,HYBRID G 5人乗り,2885500,ハイブリッド／1.5L／CVT／E-Four／定員 5名
78,7,15,HYBRID X 7人乗り,2628000,ハイブリッド／1.5L／CVT／E-Four／定員 7名
79,7,16,HYBRID G 7人乗り,2925500,ハイブリッド／1.5L／CVT／E-Four／定員 7名
80,7,17,HYBRID Z 7人乗り,3036600,ハイブリッド／1.5L／CVT／2WD　FF／定員 7名
81,8,0,HYBRID S-Z 7人乗り,3890000,ハイブリッド／1.8L／CVT／E-Four／定員 7名
82,8,1,HYBRID Z 7人乗り,3590000,ハイブリッド／1.8L／CVT／2WD　FF／定員 7名
83,8,2,S-Z 7人乗り,3320000,ガソリン／2.0L／CVT／2WD　FF／定員 7名
84,8,3,HYBRID X 7人乗り,3050000,ハイブリッド／1.8L／CVT／2WD　FF／定員 7名
85,8,4,HYBRID S-G 7人乗り,3390000,ハイブリッド／1.8L／CVT／2WD　FF／定員 7名
86,8,5,X 7人乗り,2670000,ガソリン／2.0L／CVT／2WD　FF／定員 7名
87,8,6,HYBRID X 7人乗り,3270000,ハイブリッド／1.8L／CVT／E-Four／定員 7名
88,8,7,HYBRID S-G 8人乗り,3390000,ハイブリッド／1.8L／CVT／2WD　FF／定員 8名
89,8,8,HYBRID G 7人乗り,3320000,ハイブリッド／1.8L／CVT／2WD　FF／定員 7名
90,8,9,HYBRID X 8人乗り,3050000,ハイブリッド／1.8L／CVT／2WD　FF／定員 8名
91,8,10,S-G 7人乗り,3040000,ガソリン／2.0L／CVT／2WD　FF／定員 7名
92,8,11,X 8人乗り,2670000,ガソリン／2.0L／CVT／2WD　FF／定員 8名
93,8,12,G 7人乗り,2970000,ガソリン／2.0L／CVT／2WD　FF／定員 7名
94,8,13,HYBRID Z 7人乗り,3810000,ハイブリッド／1.8L／CVT／E-Four／定員 7名
95,8,14,X 7人乗り,2868000,ガソリン／2.0L／CVT／4WD／定員 7名
96,8,15,HYBRID S-Z 7人乗り,3670000,ハイブリッド／1.8L／CVT／2WD　FF／定員 7名
97,8,16,S-Z 7人乗り,3518000,ガソリン／2.0L／CVT／4WD／定員 7名
98,8,17,HYBRID S-G 7人乗り,3610000,ハイブリッド／1.8L／CVT／E-Four／定員 7名
99,8,18,HYBRID G 8人乗り,3320000,ハイブリッド／1.8L／CVT／2WD　FF／定員 8名
100,8,19,HYBRID G 7人乗り,3540000,ハイブリッド／1.8L／CVT／E-Four／定員 7名
101,8,20,Z 7人乗り,3240000,ガソリン／2.0L／CVT／2WD　FF／定員 7名
102,8,21,X 8人乗り,2868000,ガソリン／2.0L／CVT／4WD／定員 8名
103,8,22,S-G 8人乗り,3040000,ガソリン／2.0L／CVT／2WD　FF／定員 8名
104,8,23,G 8人乗り,2970000,ガソリン／2.0L／CVT／2WD　FF／定員 8名
105,8,24,S-G 7人乗り,3238000,ガソリン／2.0L／CVT／4WD／定員 7名
106,8,25,G 7人乗り,3168000,ガソリン／2.0L／CVT／4WD／定員 7名
107,8,26,Z 7人乗り,3438000,ガソリン／2.0L／CVT／4WD／定員 7名
108,8,27,S-G 8人乗り,3238000,ガソリン／2.0L／CVT／4WD／定員 8名
109,8,28,G 8人乗り,3168000,ガソリン／2.0L／CVT／4WD／定員 8名
110,9,0,HYBRID ACTIVE SPORT,3140300,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
111,9,1,X,2028600,ガソリン／1.5L／CVT／2WD　FF／定員 5名
112,9,2,HYBRID ACTIVE SPORT,3338300,ハイブリッド／1.8L／CVT／E-Four／定員 5名
113,9,3,HYBRID G,2604800,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
114,9,4,HYBRID X,2418600,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
115,9,5,HYBRID W×B,3066300,ハイブリッド／1.8L／CVT／E-Four／定員 5名
116,9,6,G,2254800,ガソリン／1.5L／CVT／2WD　FF／定員 5名
117,9,7,W×B,2518300,ガソリン／1.5L／CVT／2WD　FF／定員 5名
118,9,8,HYBRID X,2616600,ハイブリッド／1.8L／CVT／E-Four／定員 5名
119,9,9,HYBRID G,2802800,ハイブリッド／1.8L／CVT／E-Four／定員 5名
120,9,10,HYBRID W×B,2868300,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
121,10,0,Z,8300000,FCV／その他／2WD　FR／定員 5名
122,10,1,Z,7300000,ハイブリッド／2.5L／CVT／2WD　FR／定員 5名
123,11,0,Z,3920000,ハイブリッド／2.0L／CVT／E-Four／定員 5名
124,11,1,X,2750000,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
125,11,2,G,3200000,ハイブリッド／2.0L／CVT／2WD　FF／定員 5名
126,11,3,PHEV Z,4600000,PHV／2.0L／CVT／2WD　FF／定員 5名
127,11,4,X,2970000,ハイブリッド／1.8L／CVT／E-Four／定員 5名
128,11,5,G,3420000,ハイブリッド／2.0L／CVT／E-Four／定員 5名
129,11,6,Z,3700000,ハイブリッド／2.0L／CVT／2WD　FF／定員 5名
130,12,0,Z Executive Package Advanced Drive,8610000,FCV／その他／2WD　FR／定員 5名
131,12,1,Z Executive Package,8172000,FCV／その他／2WD　FR／定員 5名
132,12,2,G,7261000,FCV／その他／2WD　FR／定員 5名
133,12,3,Z Advanced Drive,8460000,FCV／その他／2WD　FR／定員 5名
